订单ID,订单日期,大区,省份,商品品类,销售渠道,客户名称,销售额,成本金额,毛利,订单量,是否退货
O100001,2023-01-01,华东,上海,自有品牌,京东自营,北辰科技,5221.02,2994.64,2226.38,95,否
O100002,2023-01-01,华东,安徽,进口商品,天猫旗舰店,星河零售,10507.04,7000.12,3506.92,4,否
O100003,2023-01-01,华北,山东,出口商品,线下门店,金鼎家居,7532.22,5648.71,1883.51,98,否
O100004,2023-01-01,西南,重庆,自有品牌,京东自营,北辰科技,23964.56,15035.77,8928.79,12,否
O100005,2023-01-01,华东,浙江,自有品牌,企微私域,锦程贸易,25415.63,18244.31,7171.32,69,否
O100006,2023-01-01,西南,四川,自有品牌,企微私域,海纳百川,14771.92,10518.37,4253.55,6,否
O100007,2023-01-01,华南,广东,出口商品,天猫旗舰店,东方明珠商行,8656.01,6026.38,2629.63,47,否
O100008,2023-01-01,华南,广西,出口商品,抖音小店,星河零售,15540.97,9159.26,6381.71,94,否
O100009,2023-01-02,华北,山东,联名款,抖音小店,云端数码,6114.69,3819.14,2295.55,99,否
O100010,2023-01-02,华北,北京,自有品牌,线下门店,锦程贸易,2401.76,1825.39,576.37,73,否
O100011,2023-01-02,华北,山东,联名款,线下门店,南粤供应链,7210.1,4374.54,2835.56,72,否
O100012,2023-01-02,华南,福建,联名款,企微私域,东方明珠商行,9560.31,7451.16,2109.15,18,否
O100013,2023-01-02,西南,四川,进口商品,天猫旗舰店,南粤供应链,22058.19,16150.53,5907.66,55,是
O100014,2023-01-02,华东,安徽,联名款,企微私域,绿野仙踪生鲜,17005.71,13151.33,3854.38,111,否
O100015,2023-01-02,华东,浙江,自有品牌,天猫旗舰店,锦程贸易,16274.4,10649.26,5625.14,93,否
O100016,2023-01-02,华中,湖北,进口商品,抖音小店,云端数码,18644.49,10909.88,7734.61,98,否
O100017,2023-01-03,华中,河南,进口商品,企微私域,海纳百川,15149.11,8721.79,6427.32,47,否
O100018,2023-01-03,华北,北京,出口商品,企微私域,星河零售,2872.81,1901.16,971.65,9,否
O100019,2023-01-03,华北,天津,联名款,企微私域,南粤供应链,7214.37,5415.54,1798.83,55,否
O100020,2023-01-03,华中,河南,出口商品,抖音小店,东方明珠商行,24882.61,17404.69,7477.92,57,否
O100021,2023-01-03,西南,四川,出口商品,京东自营,星河零售,8981.67,6155.24,2826.43,30,是
O100022,2023-01-03,华北,北京,进口商品,天猫旗舰店,北辰科技,3354.9,1869.43,1485.47,43,否
O100023,2023-01-03,华中,湖北,自有品牌,线下门店,北辰科技,13849.46,9921.35,3928.11,113,是
O100024,2023-01-03,华中,湖南,出口商品,线下门店,东方明珠商行,5407.92,3094.92,2313.0,56,否
O100025,2023-01-04,西南,重庆,联名款,天猫旗舰店,星河零售,2606.85,1870.39,736.46,103,否
O100026,2023-01-04,华北,天津,出口商品,企微私域,绿野仙踪生鲜,4192.41,2482.75,1709.66,60,否
O100027,2023-01-04,华东,安徽,进口商品,天猫旗舰店,云端数码,36279.97,28039.67,8240.3,119,否
O100028,2023-01-04,华北,山东,联名款,线下门店,北辰科技,21724.54,16457.68,5266.86,22,否
O100029,2023-01-04,华东,安徽,自有品牌,线下门店,锦程贸易,13795.98,10625.43,3170.55,101,否
O100030,2023-01-04,西南,四川,出口商品,抖音小店,北辰科技,24242.77,16562.94,7679.83,70,否
O100031,2023-01-04,华南,广东,进口商品,企微私域,绿野仙踪生鲜,15562.78,11611.79,3950.99,21,否
O100032,2023-01-04,华中,湖北,出口商品,天猫旗舰店,金鼎家居,2811.35,2103.5,707.85,52,否
O100033,2023-01-05,华中,湖北,进口商品,企微私域,星河零售,13134.29,8987.07,4147.22,67,否
O100034,2023-01-05,华南,广东,自有品牌,京东自营,锦程贸易,10378.02,7311.2,3066.82,39,否
O100035,2023-01-05,华南,广东,进口商品,线下门店,金鼎家居,29955.12,23338.1,6617.02,10,否
O100036,2023-01-05,华北,河北,出口商品,抖音小店,星河零售,22078.34,14019.55,8058.79,21,否
O100037,2023-01-05,华中,河南,自有品牌,企微私域,云端数码,989.32,730.05,259.27,39,否
O100038,2023-01-05,华北,河北,进口商品,天猫旗舰店,云端数码,6295.34,3870.4,2424.94,27,否
O100039,2023-01-05,华北,河北,联名款,抖音小店,华创商贸,3033.62,1964.03,1069.59,36,否
O100040,2023-01-05,华东,浙江,出口商品,抖音小店,南粤供应链,23422.23,15854.19,7568.04,55,否
O100041,2023-01-06,华东,上海,进口商品,京东自营,云端数码,2507.82,1592.26,915.56,71,否
O100042,2023-01-06,西南,四川,进口商品,抖音小店,海纳百川,27066.42,19842.61,7223.81,111,否
O100043,2023-01-06,华南,广东,出口商品,天猫旗舰店,海纳百川,22630.64,17048.81,5581.83,53,是
O100044,2023-01-06,华北,天津,出口商品,京东自营,东方明珠商行,1399.83,1007.05,392.78,43,否
O100045,2023-01-06,华北,河北,出口商品,天猫旗舰店,东方明珠商行,25192.4,18830.73,6361.67,29,否
O100046,2023-01-06,西南,重庆,自有品牌,京东自营,北辰科技,1372.68,815.95,556.73,43,否
O100047,2023-01-06,华东,浙江,自有品牌,企微私域,东方明珠商行,21555.42,16038.14,5517.28,43,否
O100048,2023-01-06,华东,浙江,出口商品,企微私域,锦程贸易,2157.28,1482.51,674.77,45,否
O100049,2023-01-07,西南,云南,进口商品,线下门店,金鼎家居,6479.89,3630.09,2849.8,56,否
O100050,2023-01-07,华中,河南,出口商品,抖音小店,东方明珠商行,2493.37,1752.28,741.09,43,是
O100051,2023-01-07,华南,福建,进口商品,抖音小店,云端数码,9941.63,6401.72,3539.91,52,否
O100052,2023-01-07,华中,湖北,出口商品,线下门店,东方明珠商行,17191.09,13024.75,4166.34,79,是
O100053,2023-01-07,华南,广西,进口商品,抖音小店,锦程贸易,7063.71,5161.63,1902.08,78,否
O100054,2023-01-07,西南,重庆,联名款,京东自营,云端数码,12251.11,9277.42,2973.69,102,否
O100055,2023-01-07,华东,浙江,自有品牌,天猫旗舰店,北辰科技,24554.88,14773.87,9781.01,26,否
O100056,2023-01-07,华东,上海,出口商品,线下门店,金鼎家居,26704.57,15134.83,11569.74,54,是
O100057,2023-01-08,华北,山东,联名款,线下门店,北辰科技,4371.23,3095.5,1275.73,115,否
O100058,2023-01-08,西南,四川,出口商品,企微私域,绿野仙踪生鲜,2015.28,1223.91,791.37,109,否
O100059,2023-01-08,西南,四川,联名款,企微私域,云端数码,15209.95,11688.99,3520.96,115,否
O100060,2023-01-08,华中,河南,联名款,企微私域,绿野仙踪生鲜,22512.44,16232.39,6280.05,61,否
O100061,2023-01-08,华南,广东,自有品牌,企微私域,绿野仙踪生鲜,15967.31,9790.47,6176.84,10,否
O100062,2023-01-08,华北,河北,自有品牌,抖音小店,云端数码,2749.98,1607.89,1142.09,50,否
O100063,2023-01-08,华北,北京,联名款,线下门店,海纳百川,13931.19,8994.37,4936.82,27,否
O100064,2023-01-08,西南,云南,进口商品,企微私域,东方明珠商行,14811.49,11357.9,3453.59,39,否
O100065,2023-01-09,西南,云南,出口商品,线下门店,北辰科技,7405.03,4899.89,2505.14,50,否
O100066,2023-01-09,西南,云南,出口商品,线下门店,南粤供应链,24533.47,16507.31,8026.16,117,否
O100067,2023-01-09,华中,河南,进口商品,天猫旗舰店,东方明珠商行,5635.82,3698.17,1937.65,7,否
O100068,2023-01-09,西南,重庆,出口商品,线下门店,海纳百川,8967.51,6746.41,2221.1,36,否
O100069,2023-01-09,华南,广东,联名款,天猫旗舰店,云端数码,2369.54,1822.04,547.5,29,否
O100070,2023-01-09,华东,上海,出口商品,京东自营,华创商贸,19795.4,11973.55,7821.85,61,否
O100071,2023-01-09,华中,湖北,联名款,抖音小店,海纳百川,4860.5,3352.13,1508.37,96,否
O100072,2023-01-09,华北,河北,进口商品,企微私域,华创商贸,27934.88,19063.69,8871.19,117,否
O100073,2023-01-10,西南,云南,出口商品,天猫旗舰店,金鼎家居,20139.8,13982.37,6157.43,14,否
O100074,2023-01-10,华中,湖北,进口商品,抖音小店,云端数码,13400.1,8512.16,4887.94,65,否
O100075,2023-01-10,华东,安徽,联名款,天猫旗舰店,东方明珠商行,34573.4,24069.47,10503.93,107,否
O100076,2023-01-10,华北,山东,出口商品,企微私域,锦程贸易,15705.08,11959.61,3745.47,100,否
O100077,2023-01-10,西南,重庆,自有品牌,抖音小店,北辰科技,20903.69,11913.69,8990.0,113,否
O100078,2023-01-10,华北,山东,联名款,抖音小店,华创商贸,12762.22,7973.24,4788.98,63,否
O100079,2023-01-10,华南,广西,自有品牌,抖音小店,金鼎家居,17768.65,10901.81,6866.84,2,否
O100080,2023-01-10,华北,北京,出口商品,线下门店,绿野仙踪生鲜,14235.26,8616.24,5619.02,61,否
O100081,2023-01-11,西南,四川,进口商品,抖音小店,北辰科技,12703.81,7698.0,5005.81,85,是
O100082,2023-01-11,华南,广西,自有品牌,线下门店,云端数码,8805.15,6266.24,2538.91,35,否
O100083,2023-01-11,华南,广东,进口商品,京东自营,海纳百川,4431.87,2983.75,1448.12,98,否
O100084,2023-01-11,华北,天津,联名款,抖音小店,金鼎家居,24433.89,16386.99,8046.9,37,否
O100085,2023-01-11,华北,河北,出口商品,抖音小店,南粤供应链,8114.88,5784.65,2330.23,17,否
O100086,2023-01-11,华东,上海,自有品牌,京东自营,绿野仙踪生鲜,4103.28,2268.38,1834.9,37,否
O100087,2023-01-11,西南,重庆,自有品牌,京东自营,华创商贸,6909.98,5170.02,1739.96,15,否
O100088,2023-01-11,西南,重庆,进口商品,企微私域,华创商贸,5366.15,3952.51,1413.64,39,否
O100089,2023-01-12,华北,北京,联名款,企微私域,金鼎家居,19935.93,11999.6,7936.33,67,否
O100090,2023-01-12,西南,重庆,自有品牌,企微私域,东方明珠商行,8190.2,5674.47,2515.73,79,否
O100091,2023-01-12,华北,天津,自有品牌,天猫旗舰店,南粤供应链,7595.45,5141.8,2453.65,21,否
O100092,2023-01-12,西南,重庆,联名款,抖音小店,华创商贸,6401.72,4561.86,1839.86,90,否
O100093,2023-01-12,华东,江苏,自有品牌,企微私域,北辰科技,13860.45,9359.26,4501.19,83,否
O100094,2023-01-12,华南,广东,进口商品,天猫旗舰店,南粤供应链,27574.62,18939.91,8634.71,106,是
O100095,2023-01-12,华南,广西,进口商品,线下门店,锦程贸易,21280.27,16318.04,4962.23,65,否
O100096,2023-01-12,西南,重庆,进口商品,企微私域,华创商贸,26788.84,19259.64,7529.2,78,否
O100097,2023-01-13,华东,上海,出口商品,企微私域,金鼎家居,29761.28,23210.87,6550.41,87,否
O100098,2023-01-13,华中,湖北,出口商品,线下门店,云端数码,16566.53,12602.11,3964.42,24,是
O100099,2023-01-13,西南,云南,联名款,天猫旗舰店,绿野仙踪生鲜,10603.76,6644.96,3958.8,86,否
O100100,2023-01-13,华北,河北,联名款,线下门店,锦程贸易,16834.52,10809.51,6025.01,98,否
O100101,2023-01-13,华东,安徽,进口商品,抖音小店,锦程贸易,12934.84,10000.47,2934.37,52,否
O100102,2023-01-13,华东,安徽,联名款,天猫旗舰店,北辰科技,19185.21,13299.3,5885.91,64,否
O100103,2023-01-13,华东,江苏,自有品牌,企微私域,南粤供应链,29062.1,18912.65,10149.45,90,否
O100104,2023-01-13,华东,上海,出口商品,京东自营,锦程贸易,17662.88,11958.08,5704.8,12,否
O100105,2023-01-14,华东,安徽,进口商品,京东自营,绿野仙踪生鲜,35055.31,21633.62,13421.69,91,否
O100106,2023-01-14,西南,重庆,联名款,京东自营,绿野仙踪生鲜,14140.61,9024.89,5115.72,118,是
O100107,2023-01-14,华中,河南,出口商品,天猫旗舰店,锦程贸易,22423.55,16739.51,5684.04,44,否
O100108,2023-01-14,华南,广东,自有品牌,抖音小店,金鼎家居,14834.15,10410.4,4423.75,111,否
O100109,2023-01-14,西南,云南,联名款,抖音小店,海纳百川,14156.4,9555.41,4600.99,59,否
O100110,2023-01-14,华北,天津,联名款,京东自营,东方明珠商行,1856.26,1338.89,517.37,91,否
O100111,2023-01-14,西南,云南,出口商品,线下门店,华创商贸,3855.16,2976.3,878.86,43,否
O100112,2023-01-14,西南,四川,联名款,天猫旗舰店,南粤供应链,12329.7,8638.18,3691.52,20,否
O100113,2023-01-15,西南,重庆,自有品牌,企微私域,东方明珠商行,16526.05,12326.88,4199.17,110,否
O100114,2023-01-15,西南,重庆,联名款,企微私域,华创商贸,15742.52,9508.44,6234.08,88,否
O100115,2023-01-15,华北,北京,联名款,天猫旗舰店,星河零售,13267.57,9414.94,3852.63,116,否
O100116,2023-01-15,华东,浙江,进口商品,抖音小店,海纳百川,14806.73,8639.45,6167.28,68,否
O100117,2023-01-15,华中,河南,出口商品,京东自营,南粤供应链,2711.03,2034.07,676.96,80,否
O100118,2023-01-15,西南,云南,出口商品,京东自营,绿野仙踪生鲜,16237.29,10646.81,5590.48,86,否
O100119,2023-01-15,西南,重庆,出口商品,天猫旗舰店,绿野仙踪生鲜,27225.91,21158.89,6067.02,39,否
O100120,2023-01-15,华南,广西,自有品牌,京东自营,东方明珠商行,21450.72,12324.09,9126.63,49,是
O100121,2023-01-16,华南,福建,自有品牌,抖音小店,华创商贸,24466.26,17160.46,7305.8,36,否
O100122,2023-01-16,华中,河南,进口商品,企微私域,绿野仙踪生鲜,25145.64,19052.22,6093.42,100,否
O100123,2023-01-16,华中,湖南,出口商品,京东自营,金鼎家居,6865.17,4968.89,1896.28,99,否
O100124,2023-01-16,华东,上海,自有品牌,线下门店,华创商贸,18532.11,13314.26,5217.85,12,否
O100125,2023-01-16,华南,福建,联名款,京东自营,北辰科技,3998.27,2695.09,1303.18,47,否
O100126,2023-01-16,华中,湖南,出口商品,抖音小店,绿野仙踪生鲜,24210.69,14959.36,9251.33,112,否
O100127,2023-01-16,华东,安徽,进口商品,京东自营,北辰科技,32423.1,23233.42,9189.68,51,否
O100128,2023-01-16,华南,广东,联名款,天猫旗舰店,锦程贸易,15852.81,10377.26,5475.55,87,否
O100129,2023-01-17,华中,湖南,自有品牌,天猫旗舰店,北辰科技,14041.2,9723.47,4317.73,72,否
O100130,2023-01-17,华中,湖北,进口商品,线下门店,锦程贸易,19813.91,11429.37,8384.54,6,否
O100131,2023-01-17,华南,广西,进口商品,天猫旗舰店,北辰科技,30734.91,17863.21,12871.7,59,否
O100132,2023-01-17,华中,湖南,出口商品,线下门店,星河零售,20975.37,14506.57,6468.8,36,否
O100133,2023-01-17,华南,广东,联名款,线下门店,北辰科技,21501.89,12317.39,9184.5,88,否
O100134,2023-01-17,华中,河南,自有品牌,天猫旗舰店,东方明珠商行,8597.78,6643.4,1954.38,109,否
O100135,2023-01-17,华东,江苏,进口商品,天猫旗舰店,海纳百川,11547.78,6685.73,4862.05,73,否
O100136,2023-01-17,华东,江苏,出口商品,京东自营,海纳百川,24424.65,17863.9,6560.75,77,否
O100137,2023-01-18,华南,广东,出口商品,企微私域,锦程贸易,20124.03,11577.01,8547.02,111,否
O100138,2023-01-18,华北,北京,自有品牌,京东自营,金鼎家居,8635.27,5095.47,3539.8,7,否
O100139,2023-01-18,西南,云南,进口商品,天猫旗舰店,绿野仙踪生鲜,16074.6,10179.55,5895.05,76,否
O100140,2023-01-18,西南,云南,出口商品,企微私域,华创商贸,18399.28,13965.29,4433.99,85,否
O100141,2023-01-18,华南,广西,进口商品,天猫旗舰店,绿野仙踪生鲜,29400.38,19052.71,10347.67,14,否
O100142,2023-01-18,西南,四川,进口商品,抖音小店,金鼎家居,5267.61,3050.07,2217.54,80,是
O100143,2023-01-18,华中,河南,自有品牌,线下门店,金鼎家居,13639.48,8925.06,4714.42,78,否
O100144,2023-01-18,华东,上海,出口商品,线下门店,绿野仙踪生鲜,27864.75,17977.7,9887.05,106,否
O100145,2023-01-19,西南,重庆,进口商品,抖音小店,东方明珠商行,10035.68,6107.96,3927.72,20,否
O100146,2023-01-19,华东,上海,进口商品,天猫旗舰店,东方明珠商行,5411.08,3895.56,1515.52,104,否
O100147,2023-01-19,华中,湖北,自有品牌,天猫旗舰店,东方明珠商行,10760.63,7565.03,3195.6,97,否
O100148,2023-01-19,华东,浙江,自有品牌,抖音小店,星河零售,18482.04,11069.45,7412.59,85,否
O100149,2023-01-19,华北,北京,自有品牌,企微私域,海纳百川,3580.22,2198.51,1381.71,29,否
O100150,2023-01-19,华中,河南,进口商品,企微私域,锦程贸易,1800.8,1103.62,697.18,98,否
O100151,2023-01-19,华南,广西,进口商品,京东自营,南粤供应链,17405.96,11177.77,6228.19,19,否
O100152,2023-01-19,华东,江苏,联名款,线下门店,绿野仙踪生鲜,11312.1,7184.45,4127.65,93,否
O100153,2023-01-20,华中,河南,进口商品,天猫旗舰店,南粤供应链,6360.86,4402.37,1958.49,87,否
O100154,2023-01-20,华南,广西,联名款,线下门店,金鼎家居,11497.47,7045.98,4451.49,97,否
O100155,2023-01-20,华东,浙江,联名款,天猫旗舰店,锦程贸易,24743.5,16984.45,7759.05,68,否
O100156,2023-01-20,华东,江苏,联名款,企微私域,华创商贸,1232.53,763.34,469.19,28,否
O100157,2023-01-20,华南,广西,自有品牌,天猫旗舰店,华创商贸,14762.23,9581.44,5180.79,17,否
O100158,2023-01-20,华中,河南,出口商品,企微私域,云端数码,20967.17,15419.8,5547.37,10,否
O100159,2023-01-20,华东,安徽,进口商品,线下门店,星河零售,32494.59,22175.11,10319.48,74,否
O100160,2023-01-20,西南,重庆,进口商品,线下门店,华创商贸,29018.44,17107.27,11911.17,80,否
O100161,2023-01-21,华南,广东,联名款,天猫旗舰店,北辰科技,13044.88,8376.16,4668.72,11,否
O100162,2023-01-21,华南,福建,自有品牌,京东自营,海纳百川,19654.65,11155.34,8499.31,82,否
O100163,2023-01-21,华中,河南,出口商品,抖音小店,海纳百川,18402.57,13587.69,4814.88,105,否
O100164,2023-01-21,华北,北京,出口商品,抖音小店,北辰科技,4998.68,2925.03,2073.65,98,否
O100165,2023-01-21,华北,山东,联名款,企微私域,金鼎家居,11663.51,8894.07,2769.44,73,是
O100166,2023-01-21,华南,福建,自有品牌,京东自营,绿野仙踪生鲜,2452.53,1598.33,854.2,39,否
O100167,2023-01-21,华中,湖北,自有品牌,企微私域,星河零售,8311.87,5435.47,2876.4,8,否
O100168,2023-01-21,华南,广东,进口商品,企微私域,金鼎家居,15685.25,10296.17,5389.08,71,否
